date,bus_rkl,bus_rkn,bus_rpn,rail_lrt_ampang,rail_mrt_kajang,rail_lrt_kj,rail_monorail,rail_mrt_pjy,rail_ets,rail_intercity,rail_komuter_utara,rail_tebrau,rail_komuter,total_rail,total_bus,total_ridership,month_name,month_num
2022-01-01,84122.0,1722.0,28072.0,71002,76294,84319,25112,,5789.0,1668.0,7744.0,,,271928.0,113916.0,385844.0,Jan,1
2022-01-02,77263.0,1186.0,24772.0,61952,61436,69092,17318,,6583.0,1516.0,7946.0,,,225843.0,103221.0,329064.0,Jan,1
2022-01-03,114263.0,1296.0,27094.0,98823,95714,127098,18272,,4936.0,1344.0,6942.0,,,353129.0,142653.0,495782.0,Jan,1
2022-01-04,113677.0,1607.0,26469.0,101465,98546,132713,19085,,3981.0,1407.0,5767.0,,,362964.0,141753.0,504717.0,Jan,1
2022-01-05,116090.0,1797.0,26478.0,103732,97942,133924,19952,,3772.0,1437.0,5427.0,,,366186.0,144365.0,510551.0,Jan,1
2022-01-06,116291.0,2041.0,25632.0,101724,99296,132767,19174,,3987.0,1988.0,6094.0,,,365030.0,143964.0,508994.0,Jan,1
2022-01-07,116071.0,2114.0,26682.0,105127,102232,134437,20734,,4988.0,2181.0,6852.0,,,376551.0,144867.0,521418.0,Jan,1
2022-01-08,88331.0,1897.0,23747.0,73222,75906,81698,18684,,4783.0,2210.0,6212.0,,,262715.0,113975.0,376690.0,Jan,1
2022-01-09,85326.0,2211.0,24987.0,63425,63752,68595,17786,,5404.0,1275.0,6309.0,,,226546.0,112524.0,339070.0,Jan,1
2022-01-10,130355.0,2474.0,29802.0,107164,102406,136382,19486,,3764.0,954.0,5251.0,,,375407.0,162631.0,538038.0,Jan,1
2022-01-11,130246.0,2464.0,29382.0,106859,103597,137666,19005,,2995.0,1012.0,4745.0,,,375879.0,162092.0,537971.0,Jan,1
2022-01-12,129869.0,2298.0,28747.0,106828,103636,138009,19245,,3146.0,865.0,4600.0,,,376329.0,160914.0,537243.0,Jan,1
2022-01-13,127868.0,2306.0,28125.0,105268,102554,136254,18356,,3727.0,1120.0,4990.0,,,372269.0,158299.0,530568.0,Jan,1
2022-01-14,124258.0,2088.0,28289.0,107544,104953,138134,20154,,4799.0,1923.0,5715.0,,,383222.0,154635.0,537857.0,Jan,1
2022-01-15,88800.0,1795.0,23236.0,71825,72486,79576,16644,,5917.0,1827.0,5709.0,,,253984.0,113831.0,367815.0,Jan,1
2022-01-16,82243.0,1928.0,24146.0,61116,61057,66479,15740,,6331.0,1255.0,6241.0,,,218219.0,108317.0,326536.0,Jan,1
2022-01-17,126147.0,2259.0,27824.0,104506,99212,129828,18873,,4077.0,1050.0,5426.0,,,362972.0,156230.0,519202.0,Jan,1
2022-01-18,79529.0,2251.0,21468.0,62011,62590,67733,13922,,5086.0,1290.0,4944.0,,,217576.0,103248.0,320824.0,Jan,1
2022-01-19,129872.0,2229.0,29241.0,109919,105715,140682,19063,,3591.0,787.0,4907.0,,,384664.0,161342.0,546006.0,Jan,1
2022-01-20,128251.0,2310.0,29098.0,108478,104420,137868,19792,,4006.0,1253.0,5020.0,,,380837.0,159659.0,540496.0,Jan,1
2022-01-21,127255.0,2195.0,29071.0,112210,106791,138395,20550,,5844.0,2344.0,5788.0,,,391922.0,158521.0,550443.0,Jan,1
2022-01-22,82953.0,1773.0,22738.0,53564,54690,61840,9974,,5196.0,2303.0,5257.0,,,192824.0,107464.0,300288.0,Jan,1
2022-01-23,77638.0,1721.0,22762.0,60214,57822,62420,15023,,6517.0,1266.0,5952.0,,,209214.0,102121.0,311335.0,Jan,1
2022-01-24,127207.0,2318.0,29291.0,108703,102610,135619,19588,,4137.0,861.0,5137.0,,,376655.0,158816.0,535471.0,Jan,1
2022-01-25,129593.0,2234.0,29423.0,110167,104543,140534,19655,,3782.0,964.0,4717.0,,,384362.0,161250.0,545612.0,Jan,1
2022-01-26,131006.0,2304.0,29362.0,111403,106749,141511,19845,,4145.0,1099.0,4652.0,,,389404.0,162672.0,552076.0,Jan,1
2022-01-27,127527.0,2132.0,29403.0,109902,103822,138386,19757,,5752.0,1678.0,5281.0,,,384578.0,159062.0,543640.0,Jan,1
2022-01-28,125193.0,2350.0,29592.0,113558,106341,139472,20994,,9980.0,3049.0,6871.0,,,400265.0,157135.0,557400.0,Jan,1
2022-01-29,85910.0,1803.0,24182.0,72669,68356,75894,16594,,10369.0,3626.0,6872.0,,,254380.0,111895.0,366275.0,Jan,1
2022-01-30,79326.0,1820.0,26044.0,62180,58966,65290,17920,,9715.0,3403.0,7248.0,,,224722.0,107190.0,331912.0,Jan,1
2022-01-31,98153.0,2017.0,28441.0,82007,72692,97788,20381,,9375.0,3660.0,7906.0,,,293809.0,128611.0,422420.0,Jan,1
2022-02-01,81030.0,2248.0,28944.0,65002,62592,78843,24393,,8567.0,4538.0,7581.0,,,251516.0,112222.0,363738.0,Feb,2
2022-02-02,77435.0,1708.0,26012.0,55368,46568,63266,19409,,10361.0,4300.0,8086.0,,,207358.0,105155.0,312513.0,Feb,2
2022-02-03,89517.0,1966.0,26160.0,62127,52926,74221,16489,,9344.0,3390.0,7146.0,,,225643.0,117643.0,343286.0,Feb,2
2022-02-04,97558.0,1651.0,25955.0,72686,62353,93248,17799,,9071.0,3926.0,6578.0,,,265661.0,125164.0,390825.0,Feb,2
2022-02-05,78688.0,1647.0,22679.0,55000,49676,63713,15262,,9280.0,3297.0,6107.0,,,202335.0,103014.0,305349.0,Feb,2
2022-02-06,74779.0,1810.0,24072.0,50285,43445,55194,14094,,10211.0,1986.0,6338.0,,,181553.0,100661.0,282214.0,Feb,2
2022-02-07,121196.0,2230.0,29338.0,98560,92844,124610,17293,,6522.0,1458.0,5313.0,,,346600.0,152764.0,499364.0,Feb,2
2022-02-08,120653.0,2070.0,28079.0,98032,92020,124969,17366,,4474.0,1211.0,4916.0,,,342988.0,150802.0,493790.0,Feb,2
2022-02-09,119200.0,2102.0,27065.0,94691,89008,121477,17226,,4337.0,1188.0,4527.0,,,332454.0,148367.0,480821.0,Feb,2
2022-02-10,113787.0,2062.0,27208.0,92623,86781,118187,17308,,4597.0,1479.0,4684.0,,,325659.0,143057.0,468716.0,Feb,2
2022-02-11,116506.0,1852.0,27094.0,93668,87077,118590,18128,,6706.0,2210.0,5416.0,,,331795.0,145452.0,477247.0,Feb,2
2022-02-12,82696.0,1465.0,22209.0,63049,57073,68628,14832,,6086.0,2315.0,4984.0,,,216967.0,106370.0,323337.0,Feb,2
2022-02-13,77526.0,1704.0,23316.0,54957,50420,58540,14122,,7478.0,1561.0,5426.0,,,192504.0,102546.0,295050.0,Feb,2
2022-02-14,118866.0,2079.0,27234.0,93177,87878,117568,17484,,4530.0,1063.0,4938.0,,,326638.0,148179.0,474817.0,Feb,2
2022-02-15,118056.0,1893.0,26395.0,92411,86260,115961,16709,,3692.0,1017.0,4123.0,,,320173.0,146344.0,466517.0,Feb,2
2022-02-16,118961.0,2033.0,27370.0,92577,85813,115810,16460,,3708.0,993.0,4238.0,,,319599.0,148364.0,467963.0,Feb,2
2022-02-17,115121.0,1781.0,26400.0,90560,84067,111937,16436,,4200.0,1297.0,4514.0,,,313011.0,143302.0,456313.0,Feb,2
2022-02-18,111000.0,1848.0,26062.0,90519,82929,111114,16829,,6253.0,2148.0,5159.0,,,314951.0,138910.0,453861.0,Feb,2
2022-02-19,81498.0,1492.0,21486.0,61668,56317,67440,14382,,5540.0,2317.0,4588.0,,,212252.0,104476.0,316728.0,Feb,2
2022-02-20,72737.0,1591.0,22448.0,52260,47417,54777,13498,,7013.0,1509.0,4868.0,,,181342.0,96776.0,278118.0,Feb,2
2022-02-21,111795.0,1777.0,26044.0,89050,81677,109198,16573,,4402.0,1748.0,4722.0,,,307370.0,139616.0,446986.0,Feb,2
2022-02-22,110744.0,1855.0,25782.0,88733,82118,110337,16058,,3656.0,1634.0,4002.0,,,306538.0,138381.0,444919.0,Feb,2
2022-02-23,111049.0,1672.0,25695.0,88528,82570,110634,15963,,3814.0,1815.0,4131.0,,,307455.0,138416.0,445871.0,Feb,2
2022-02-24,105406.0,1343.0,24377.0,85402,79043,106205,15802,,4485.0,1723.0,4258.0,,,296918.0,131126.0,428044.0,Feb,2
2022-02-25,106020.0,1504.0,24881.0,88259,81104,108539,16702,,6999.0,2308.0,4871.0,,,308782.0,132405.0,441187.0,Feb,2
